fold_id,true_positive,false_positive,true_negative,false_negative,signals,baseline_signals,signal_coverage,events,dates,dates_with_signal,precision,specificity,sensitivity,candidate_id,gate_name,threshold_quantile,minimum_score
4,185,9,1146,8979,194,624,0.3108974358974359,10319,231,102,0.9536082474226805,0.9922077922077922,0.02018769096464426,G3_recovery_only__q0500,G3_recovery_only,0.5,0.5998151302337646
5,116,56,5056,5144,172,671,0.2563338301043219,10372,288,86,0.6744186046511628,0.9890453834115805,0.022053231939163497,G3_recovery_only__q0500,G3_recovery_only,0.5,0.5998151302337646
1,28,37,6317,3962,65,561,0.11586452762923351,10344,92,18,0.4307692307692308,0.9941768964431854,0.007017543859649123,G3_recovery_only__q0650,G3_recovery_only,0.65,0.63206847012043
2,24,19,5532,4833,43,566,0.07597173144876325,10408,91,19,0.5581395348837209,0.9965771932985048,0.004941321803582459,G3_recovery_only__q0650,G3_recovery_only,0.65,0.63206847012043
3,42,3,2842,7510,45,594,0.07575757575757576,10397,136,20,0.9333333333333333,0.998945518453427,0.005561440677966102,G3_recovery_only__q0650,G3_recovery_only,0.65,0.63206847012043
4,154,7,1148,9010,161,624,0.25801282051282054,10319,231,95,0.9565217391304348,0.9939393939393939,0.01680488869489306,G3_recovery_only__q0650,G3_recovery_only,0.65,0.63206847012043
5,86,50,5062,5174,136,671,0.20268256333830104,10372,288,79,0.6323529411764706,0.9902190923317684,0.01634980988593156,G3_recovery_only__q0650,G3_recovery_only,0.65,0.63206847012043
1,12,22,6332,3978,34,561,0.06060606060606061,10344,92,12,0.35294117647058826,0.9965376141013534,0.0030075187969924814,G3_recovery_only__q0750,G3_recovery_only,0.75,0.6510501205921173
2,4,7,5544,4853,11,566,0.019434628975265017,10408,91,9,0.36363636363636365,0.9987389659520807,0.0008235536339304097,G3_recovery_only__q0750,G3_recovery_only,0.75,0.6510501205921173
3,34,1,2844,7518,35,594,0.058922558922558925,10397,136,17,0.9714285714285714,0.9996485061511423,0.004502118644067797,G3_recovery_only__q0750,G3_recovery_only,0.75,0.6510501205921173
4,128,6,1149,9036,134,624,0.21474358974358973,10319,231,87,0.9552238805970149,0.9948051948051948,0.013967699694456569,G3_recovery_only__q0750,G3_recovery_only,0.75,0.6510501205921173
5,70,33,5079,5190,103,671,0.15350223546944858,10372,288,69,0.6796116504854369,0.9935446009389671,0.013307984790874524,G3_recovery_only__q0750,G3_recovery_only,0.75,0.6510501205921173
