dEven,candidate_event_count,has_candidate_event
2017-07-29,115,True
2017-07-30,121,True
2017-07-31,122,True
2017-08-01,118,True
2017-08-02,116,True
2017-08-06,129,True
2017-08-07,132,True
2017-08-08,126,True
2017-08-09,121,True
2017-08-12,120,True
2017-08-13,133,True
2017-08-14,122,True
2017-08-15,127,True
2017-08-16,113,True
2017-08-19,108,True
2017-08-20,109,True
2017-08-21,112,True
2017-08-22,106,True
2017-08-23,99,True
2017-08-26,97,True
2017-08-27,114,True
2017-08-28,110,True
2017-08-29,102,True
2017-08-30,105,True
2017-09-02,104,True
2017-09-03,105,True
2017-09-04,101,True
2017-09-05,108,True
2017-09-06,107,True
2017-09-10,108,True
2017-09-11,118,True
2017-09-12,116,True
2017-09-13,123,True
2017-09-16,124,True
2017-09-17,111,True
2017-09-18,105,True
2017-09-19,119,True
2017-09-20,121,True
2017-09-23,119,True
2017-09-24,110,True
2017-09-25,111,True
2017-09-26,114,True
2017-09-27,108,True
2017-10-02,122,True
2017-10-03,126,True
2017-10-04,123,True
2017-10-07,115,True
2017-10-08,114,True
2017-10-09,103,True
2017-10-10,110,True
2017-10-11,108,True
2017-10-14,116,True
2017-10-15,120,True
2017-10-16,122,True
2017-10-17,109,True
2017-10-18,109,True
2017-10-21,110,True
2017-10-22,104,True
2017-10-23,92,True
2017-10-24,83,True
2017-10-25,89,True
2017-10-28,99,True
2017-10-29,97,True
2017-10-30,108,True
2017-10-31,105,True
2017-11-01,114,True
2017-11-04,120,True
2017-11-05,109,True
2017-11-06,117,True
2017-11-07,108,True
2017-11-08,109,True
2017-11-11,113,True
2017-11-12,107,True
2017-11-13,114,True
2017-11-14,108,True
2017-11-15,122,True
2017-11-18,120,True
2017-11-20,120,True
2017-11-21,124,True
2017-11-22,129,True
2017-11-25,126,True
2017-11-26,134,True
2017-11-28,124,True
2017-11-29,139,True
2017-12-02,137,True
2017-12-03,133,True
2017-12-04,130,True
2017-12-05,131,True
2017-12-09,137,True
2017-12-10,144,True
2017-12-11,143,True
2017-12-12,133,True
2017-12-13,141,True
2017-12-16,123,True
2017-12-17,123,True
2017-12-18,133,True
2017-12-19,126,True
2017-12-20,134,True
2017-12-23,128,True
2017-12-24,129,True
2017-12-25,135,True
2017-12-26,126,True
2017-12-27,132,True
2017-12-30,116,True
2017-12-31,107,True
2018-01-01,102,True
2018-01-02,87,True
2018-01-03,85,True
2018-01-06,94,True
2018-01-07,96,True
2018-01-08,99,True
2018-01-09,84,True
2018-01-10,98,True
2018-01-13,91,True
2018-01-14,79,True
2018-01-15,75,True
2018-01-16,69,True
2018-01-17,88,True
2018-01-20,74,True
2018-01-21,70,True
2018-01-22,78,True
2018-01-23,94,True
2018-01-24,98,True
2018-01-27,112,True
2018-01-28,110,True
2018-01-29,125,True
2018-01-30,124,True
2018-01-31,128,True
2018-02-03,127,True
2018-02-04,112,True
