dEven,fold_id,candidate_events,required_quota,selected_signals,selected_positive_labels,raw_score_cutoff,minimum_raw_score,maximum_raw_score
2018-06-02,2,148,8,8,6,0.5362353324890137,0.4155547618865967,0.5845178365707397
2018-06-03,2,148,8,8,5,0.5144806504249573,0.3949390053749084,0.5447106957435608
2018-06-09,2,144,8,8,5,0.5498547554016113,0.3990172445774078,0.6349613666534424
2018-06-10,2,146,8,8,5,0.5508493185043335,0.4018678069114685,0.6523898839950562
2018-06-11,2,140,7,7,4,0.5473469495773315,0.4069994986057281,0.606525182723999
2018-06-12,2,124,7,7,1,0.6074169874191284,0.4756151437759399,0.6312809586524963
2018-06-13,2,99,5,5,3,0.6154175400733948,0.5304874777793884,0.623953640460968
2018-06-17,2,77,4,4,4,0.5147176384925842,0.4241141080856323,0.5287707448005676
2018-06-18,2,92,5,5,5,0.545403003692627,0.3920934796333313,0.5584881901741028
2018-06-19,2,90,5,5,3,0.4999192953109741,0.3282453119754791,0.5131285786628723
2018-06-20,2,79,4,4,2,0.5770784616470337,0.4359125196933746,0.5913470387458801
2018-06-23,2,69,4,4,2,0.5036748647689819,0.3810060918331146,0.5148070454597473
2018-06-24,2,64,4,4,3,0.5638495087623596,0.4461673200130462,0.5724064707756042
2018-06-25,2,65,4,4,1,0.6455396413803101,0.5407267808914185,0.6586667895317078
2018-06-26,2,69,4,4,1,0.4734564125537872,0.3556576371192932,0.5370607376098633
2018-06-27,2,77,4,4,3,0.4273434281349182,0.3084114193916321,0.5101290345191956
2018-06-30,3,74,4,4,1,0.4220885038375854,0.2988810241222381,0.4410109221935272
2018-07-01,3,87,5,5,1,0.4219511449337005,0.3046934008598327,0.5045663714408875
2018-07-02,3,78,4,4,1,0.4197510182857513,0.2965657413005829,0.5044149160385132
2018-07-03,3,78,4,4,1,0.4246438443660736,0.3181750476360321,0.4604480266571045
2018-07-04,3,83,5,5,2,0.4215174317359924,0.3015837669372558,0.5370680093765259
2018-07-07,3,83,5,5,3,0.4141269326210022,0.2930407524108886,0.5233093500137329
2018-07-08,3,91,5,5,4,0.4119925796985626,0.303031176328659,0.533911406993866
2018-07-10,3,117,6,6,4,0.4257614612579345,0.2799765169620514,0.5277047753334045
2018-07-11,3,127,7,7,6,0.4710304737091064,0.3139412999153137,0.5779007077217102
2018-07-14,3,106,6,6,5,0.3976421654224396,0.2859246432781219,0.5047969222068787
2018-07-15,3,99,5,5,4,0.4275451600551605,0.2773550748825073,0.4843474924564361
2018-07-16,3,102,6,6,4,0.3940061926841736,0.2732322812080383,0.5549715161323547
2018-07-17,3,103,6,6,5,0.4076387584209442,0.2841445207595825,0.487648069858551
2018-07-18,3,102,6,6,6,0.4397857189178467,0.2813028693199157,0.5311049818992615
2018-07-21,3,80,4,4,4,0.4555330872535705,0.3314289450645447,0.5406679511070251
2018-07-22,3,84,5,5,5,0.4549635052680969,0.3056692481040954,0.5015449523925781
2018-07-23,3,103,6,6,6,0.5284577012062073,0.358159452676773,0.6198080778121948
2018-07-24,3,112,6,6,6,0.5421851873397827,0.4461643993854522,0.5959088802337646
2018-07-25,3,110,6,6,6,0.5916247367858887,0.4683618545532226,0.6379755735397339
2018-07-28,3,107,6,6,6,0.5615763068199158,0.4430676698684692,0.6475444436073303
2018-07-29,3,117,6,6,5,0.5790599584579468,0.4438572525978088,0.6613903045654297
2018-07-30,3,122,7,7,7,0.5722218751907349,0.4466787874698639,0.6575018167495728
2018-07-31,3,81,5,5,5,0.5002450942993164,0.4029072523117065,0.5455286502838135
2018-08-01,3,105,6,6,6,0.5053654313087463,0.3704598248004913,0.5350335240364075
2018-08-04,3,114,6,6,6,0.5011576414108276,0.3777452409267425,0.5868497490882874
2018-08-05,3,104,6,6,6,0.5167903900146484,0.3962318301200866,0.571907103061676
2018-08-06,3,101,6,6,6,0.5185801386833191,0.384571373462677,0.5831608772277832
2018-08-07,3,99,5,5,5,0.5026769042015076,0.2868860363960266,0.5740519762039185
2018-08-08,3,116,6,6,6,0.4957337379455566,0.2880312204360962,0.6027345657348633
2018-08-11,3,105,6,6,5,0.4828948974609375,0.3000914752483368,0.5891531705856323
2018-08-12,3,108,6,6,6,0.4922583997249603,0.303873747587204,0.569526195526123
2018-08-13,3,126,7,7,7,0.5153147578239441,0.3215442597866058,0.560863733291626
2018-08-14,3,110,6,6,6,0.5265722274780273,0.341176301240921,0.5560587048530579
2018-08-15,3,117,6,6,6,0.536080539226532,0.3395979702472687,0.5756167769432068
2018-08-18,3,107,6,6,6,0.515276312828064,0.4012136161327362,0.5288802981376648
2018-08-19,3,106,6,6,6,0.5109615921974182,0.3867332637310028,0.5468584299087524
2018-08-20,3,94,5,5,5,0.5579005479812622,0.4435883164405823,0.5899955034255981
2018-08-21,3,79,4,4,4,0.5007736086845398,0.3835150599479675,0.5241400599479675
2018-08-25,3,67,4,4,4,0.7254022359848022,0.6029092669487,0.7329192161560059
2018-08-26,3,46,3,3,3,0.7386422157287598,0.6431180238723755,0.7425158619880676
2018-08-27,3,41,3,3,3,0.737149715423584,0.6546987891197205,0.7454344630241394
2018-08-28,3,45,3,3,3,0.6832802891731262,0.611121654510498,0.6864587664604187
2018-08-29,3,43,3,3,3,0.7410123944282532,0.626510739326477,0.7424457669258118
2018-09-01,3,43,3,3,3,0.7445570826530457,0.6571835279464722,0.7502404451370239
2018-09-02,3,49,3,3,3,0.6938046216964722,0.5874864459037781,0.7146438956260681
2018-09-03,3,46,3,3,3,0.695030152797699,0.6065431237220764,0.7016027569770813
2018-09-04,3,38,2,2,2,0.7357797026634216,0.6696361303329468,0.7394513487815857
2018-09-05,3,34,2,2,2,0.70442795753479,0.62034010887146,0.7128810286521912
2018-09-08,3,22,2,2,2,0.6695783734321594,0.5899377465248108,0.6758832931518555
2018-09-09,3,16,1,1,1,0.6689020991325378,0.6382995247840881,0.6689020991325378
2018-09-10,3,11,1,1,1,0.6826069951057434,0.6176624298095703,0.6826069951057434
2018-09-11,3,11,1,1,1,0.7098045349121094,0.6622573733329773,0.7098045349121094
2018-09-12,3,6,1,1,1,0.6648253202438354,0.6259145736694336,0.6648253202438354
2018-09-15,3,4,1,1,1,0.6989566683769226,0.6432828307151794,0.6989566683769226
2018-09-16,3,5,1,1,1,0.6709142327308655,0.6451405882835388,0.6709142327308655
2018-09-17,3,4,1,1,1,0.6557213664054871,0.6388598680496216,0.6557213664054871
2018-09-18,3,2,1,1,1,0.6356285214424133,0.6200241446495056,0.6356285214424133
2018-09-22,3,1,1,1,1,0.6354889273643494,0.6354889273643494,0.6354889273643494
2018-09-23,3,1,1,1,1,0.6405142545700073,0.6405142545700073,0.6405142545700073
2018-09-25,3,1,1,1,0,0.5657952427864075,0.5657952427864075,0.5657952427864075
2018-09-26,3,1,1,1,0,0.5646815299987793,0.5646815299987793,0.5646815299987793
2018-09-29,3,1,1,1,0,0.564980149269104,0.564980149269104,0.564980149269104
2018-10-01,3,1,1,1,0,0.6134583950042725,0.6134583950042725,0.6134583950042725
2018-10-02,3,2,1,1,1,0.5985983610153198,0.5214637517929077,0.5985983610153198
2018-10-03,3,2,1,1,1,0.6281223297119141,0.5562345385551453,0.6281223297119141
2018-10-06,3,3,1,1,1,0.5686063766479492,0.5095357298851013,0.5686063766479492
2018-10-07,3,2,1,1,1,0.5480597615242004,0.5321207642555237,0.5480597615242004
2018-10-08,3,3,1,1,1,0.5392360687255859,0.4726746380329132,0.5392360687255859
2018-10-09,3,4,1,1,1,0.5578410029411316,0.5177401304244995,0.5578410029411316
2018-10-10,3,6,1,1,1,0.5652428865432739,0.5184974670410156,0.5652428865432739
2018-10-13,3,9,1,1,1,0.579024076461792,0.5103714466094971,0.579024076461792
2018-10-14,3,13,1,1,1,0.5619534254074097,0.4836383163928985,0.5619534254074097
2018-10-15,3,11,1,1,0,0.5907331705093384,0.4858711957931518,0.5907331705093384
2018-10-16,3,6,1,1,0,0.5710874199867249,0.5014895796775818,0.5710874199867249
2018-10-17,3,5,1,1,0,0.5560718774795532,0.4932567179203033,0.5560718774795532
2018-10-20,3,5,1,1,1,0.5649508237838745,0.4748751223087311,0.5649508237838745
2018-10-21,3,7,1,1,0,0.5657966732978821,0.4984508156776428,0.5657966732978821
2018-10-22,3,7,1,1,0,0.5891237854957581,0.4650212824344635,0.5891237854957581
2018-10-23,3,19,1,1,0,0.5971075892448425,0.467686265707016,0.5971075892448425
2018-10-24,3,24,2,2,0,0.5954992175102234,0.4508580863475799,0.5979804992675781
2018-10-27,3,32,2,2,1,0.5856115818023682,0.4257371425628662,0.6045469045639038
2018-10-28,3,19,1,1,1,0.5452863574028015,0.4193310141563415,0.5452863574028015
2018-10-29,3,14,1,1,0,0.5480177402496338,0.4202809929847717,0.5480177402496338
2018-10-31,3,16,1,1,0,0.4953797459602356,0.4233267903327942,0.4953797459602356
2018-11-03,3,24,2,2,0,0.5353532433509827,0.4258019626140594,0.5431036949157715
2018-11-04,3,34,2,2,1,0.5768595933914185,0.4445807337760925,0.5836178064346313
2018-11-05,3,23,2,2,0,0.5343124270439148,0.4322854876518249,0.5362609624862671
2018-11-06,3,62,4,4,2,0.5251598954200745,0.4330593049526214,0.5426259636878967
2018-11-10,3,87,5,5,2,0.484620988368988,0.4001511931419372,0.5573025941848755
