events,positive_fraction,roc_auc,average_precision,log_loss,brier_score,threshold,accuracy,balanced_accuracy,precision,sensitivity,recall,specificity,f1,mcc,tn,fp,fn,tp,model_name,feature_set_name,feature_count,numeric_feature_count,categorical_feature_count,fold_id,train_events,validation_events,train_positive_fraction,validation_positive_fraction,average_uniqueness_weighting_applied,train_sample_weight_mean,train_sample_weight_min,train_sample_weight_max,validation_metrics_weighted,fit_seconds,inference_seconds
10372,0.5071345931353645,0.538710154887925,0.5449789075367285,0.7607161302470323,0.27904062107812333,0.5,0.48843038951021983,0.48239280422713726,0.49759715837860424,0.9055133079847909,0.9055133079847909,0.05927230046948357,0.642259978425027,-0.06598757141005736,303,4809,497,4763,random_forest,I_full_40,40,38,2,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,34.74280579999322,0.06317969999508932
10344,0.3857308584686775,0.4845270636458947,0.382989864447296,0.7395315597277692,0.2726615371598028,0.5,0.4235305491105955,0.4824669085366864,0.37482552975510725,0.7403508771929824,0.7403508771929824,0.2245829398803903,0.4976834302080701,-0.04007519806301287,1427,4927,1036,2954,xgboost,A_baseline_35,35,34,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,3.4441406999976607,0.057863399997586384
10408,0.46666026133743277,0.49173989131866386,0.4572192958015476,0.7066283925418348,0.2565868353696058,0.5,0.4819369715603382,0.49287975126632866,0.46132716495590576,0.6569899114679844,0.6569899114679844,0.328769591064673,0.5420417869882792,-0.015047384346915138,1825,3726,1666,3191,xgboost,A_baseline_35,35,34,1,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,3.007761400003801,0.044671800002106465
10397,0.7263633740502068,0.5426174190521581,0.7815733133527925,0.7392150015306573,0.2725762477820922,0.5,0.4045397710878138,0.54432115423282,0.8097405553026855,0.2355667372881356,0.2355667372881356,0.8530755711775044,0.36496050877013025,0.09680353770883149,2427,418,5773,1779,xgboost,A_baseline_35,35,34,1,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,3.255611200002022,0.04756939999060705
10319,0.888070549471848,0.4909633215613137,0.8979260115164172,0.6890188297091814,0.24918918743801213,0.5,0.4754336660529121,0.5041398111563978,0.8898357929744336,0.4671540811872545,0.4671540811872545,0.5411255411255411,0.612665474060823,0.005232743108187369,625,530,4883,4281,xgboost,A_baseline_35,35,34,1,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,3.4612183999997796,0.05082340000080876
10372,0.5071345931353645,0.5433903192071737,0.5655781529818932,0.7095773112719219,0.2576876179319819,0.5,0.4962398765908214,0.49132533902187947,0.5019984012789768,0.8357414448669201,0.8357414448669201,0.14690923317683882,0.6272383534279803,-0.023922516504881836,751,4361,864,4396,xgboost,A_baseline_35,35,34,1,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,3.8626251999958185,0.050197300006402656
10344,0.3857308584686775,0.48837359372621036,0.38484543699702733,0.7432784845577742,0.2744479270207117,0.5,0.4203402938901779,0.48140866803458127,0.37431077694235587,0.7486215538847117,0.7486215538847117,0.21419578218445073,0.4990810359231412,-0.04310477402270552,1361,4993,1003,2987,xgboost,B_plus_started,36,35,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,3.0942234999965876,0.05063220000010915
10408,0.46666026133743277,0.47966736058960563,0.4434115312518965,0.7083762376588324,0.25744528822773993,0.5,0.48078401229823214,0.4894435920468991,0.4583269846106963,0.6193123327156681,0.6193123327156681,0.35957485137813006,0.5267950963222416,-0.02182310046961128,1996,3555,1849,3008,xgboost,B_plus_started,36,35,1,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,2.9452419000008376,0.056837500000256114
10397,0.7263633740502068,0.5283066811757171,0.775366414956874,0.7504941936517601,0.2779109243755694,0.5,0.3924208906415312,0.5415654973786899,0.813610970035551,0.2121292372881356,0.2121292372881356,0.8710017574692442,0.3365192731855898,0.09459103595004639,2478,367,5950,1602,xgboost,B_plus_started,36,35,1,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,3.2951354999968316,0.041205000001355074
10319,0.888070549471848,0.4910706963631451,0.8980882624842063,0.6889108666220863,0.24937024260088947,0.5,0.47068514390929356,0.5044930189845074,0.8900126422250316,0.4609340899170668,0.4609340899170668,0.548051948051948,0.607332854061826,0.005684514690962513,633,522,4940,4224,xgboost,B_plus_started,36,35,1,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,3.699022500004503,0.05213140000705607
10372,0.5071345931353645,0.529373200015471,0.5604720092771646,0.717208539806652,0.26136989182598674,0.5,0.489105283455457,0.4837489661245887,0.49785171312107523,0.8591254752851711,0.8591254752851711,0.10837245696400626,0.6303968752179675,-0.049157890062717556,554,4558,741,4519,xgboost,B_plus_started,36,35,1,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,4.049401299998863,0.0543556000047829
10344,0.3857308584686775,0.48762569786127263,0.3850090756315695,0.7420262547741545,0.2738660714661545,0.5,0.41889017788089716,0.48074115884612384,0.3739553448921043,0.7513784461152883,0.7513784461152883,0.2101038715769594,0.4993753643707837,-0.0449020393824619,1335,5019,992,2998,xgboost,C_plus_breadth_raw,36,35,1,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,3.1071364999952493,0.044388800000888295
